№ п/п,Дата,Время,"Мощность, МВт",Температура воздуха (градусы Цельсия) на высоте 2 метра над поверхностью земли,Атмосферное давление на уровне станции (миллиметры ртутного столба),"Атмосферное давление, приведенное к среднему уровню моря (миллиметры ртутного столба) ",Относительная влажность (%) на высоте 2 метра над поверхностью земли,"Направление ветра (румбы) на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения ","Скорость ветра на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения (метры в секунду) ",Общая облачность,"Текущая погода, сообщаемая с метеорологической станции ",Прошедшая погода между сроками наблюдения 1,Прошедшая погода между сроками наблюдения 2,"Слоисто-кучевые, слоитсые, кучевые и кучево-дождевые облака","Количество всех наблюдающихся облаков Cl или, при отсутствии облаков Cl, количество всех наблюдащихся облаков Cm",Высота основания самых низких облаков (м),"Высококучевые, высокослоистые и слоисто-дождевые облака","Перистые, перисто-кучевые и перисто-слоистые облака",Горизонтальная дальность видимости (км),,,,,,,,,,,,,,,,,,,,,,,,,
1228,25/09/19 10:00,10:00,10.30166667,10.8,765.4,765.9,49,67.5,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1229,25/09/19 13:00,13:00,9.528111111,13.9,764.9,765.4,30,22.5,3,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1230,25/09/19 16:00,16:00,2.726611111,14.8,764.4,764.9,26,45,3,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1231,25/09/19 19:00,19:00,0,11.6,764.5,765.0,34,67.5,1,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1232,25/09/19 22:00,22:00,0,8.6,764.8,765.4,52,0,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1233,26/09/19 1:00,1:00,0,6.7,764.5,765.1,68,22.5,1,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1234,26/09/19 4:00,4:00,0.000166667,6.4,764.2,764.6,87,45,1,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1235,26/09/19 7:00,7:00,0.587611111,6.7,764.5,765.1,85,22.5,1,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1236,26/09/19 10:00,10:00,1.845777778,9.4,765.2,765.7,67,67.5,2,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1237,26/09/19 13:00,13:00,3.784722222,12.3,765.0,765.5,37,67.5,3,70 – 80%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1238,26/09/19 16:00,16:00,1.721277778,12.9,765.7,764.1,39,67.5,4,100%.,Облака в целом образовывались или развивались. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
1239,26/09/19 19:00,19:00,0,10.7,764.5,765.0,47,135,1,"90  или более, но не 100%", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1240,26/09/19 22:00,22:00,0,4.4,764.9,765.4,85,,0,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1241,27/09/19 1:00,1:00,0,3.7,764.8,765.4,90,0,1,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1242,27/09/19 4:00,4:00,0.015222222,6.2,764.8,765.4,82,67.5,2,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1243,27/09/19 7:00,7:00,2.844944444,5.2,765.1,765.6,75,67.5,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1244,27/09/19 10:00,10:00,8.151722222,10.2,765.2,765.7,56,90,2,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1245,27/09/19 13:00,13:00,6.383277778,15.4,764.8,765.3,30,157.5,5,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1246,27/09/19 16:00,16:00,0.709722222,15.4,763.9,764.4,29,135,3,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1247,27/09/19 19:00,19:00,0,14.3,763.1,763.6,42,112.5,1,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1248,27/09/19 22:00,22:00,0,13.1,762.8,763.3,58,157.5,1,100%., ,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",60%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1249,28/09/19 1:00,1:00,0,11.8,762.1,762.6,83,180,4,100%., ,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",70 – 80%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1250,28/09/19 4:00,4:00,0,10.9,761.2,761.7,84,135,3,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1251,28/09/19 7:00,7:00,0.268222222,10.2,760.7,761.2,89,135,2,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся из кучевых.",70 – 80%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1252,28/09/19 10:00,10:00,0.700222222,9.4,760.9,761.3,99,112.5,1,100%.,Морось незамерзающая непрерывная слабая в срок наблюдения. ,Ливень (ливни).,Морось.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,100-200,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1253,28/09/19 13:00,13:00,0.589055556,9.3,760.9,761.5,99,67.5,1,100%.,Морось незамерзающая непрерывная слабая в срок наблюдения. ,Дождь.,Морось.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,100-200,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1254,28/09/19 16:00,16:00,0.396666667,10.5,761.5,762.0,97,0,1,100%.,Дымка. ,Дождь.,Морось.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,100-200,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1255,28/09/19 19:00,19:00,0,10.6,762.4,763.0,96,,0,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1256,28/09/19 22:00,22:00,0,9.9,763.3,763.9,98,,0,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1257,29/09/19 1:00,1:00,0,9.7,764.2,764.7,99,247.5,2,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1258,29/09/19 4:00,4:00,0.005722222,9.3,764.2,764.8,99,225,2,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1259,29/09/19 7:00,7:00,2.740944444,9.1,764.6,765.1,100,180,1,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1260,29/09/19 10:00,10:00,6.162444444,11.3,765.3,765.8,97,180,2,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1261,29/09/19 13:00,13:00,5.423555556,14.8,765.2,765.7,70,180,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1262,29/09/19 16:00,16:00,0.994777778,14.9,764.4,764.9,72,135,3,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1263,29/09/19 19:00,19:00,0,13.6,764.2,764.8,79,157.5,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1264,29/09/19 22:00,22:00,0,11.5,763.9,764.5,89,112.5,2,Облаков нет.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1265,30/09/19 1:00,1:00,0,12.1,763.9,764.5,85,157.5,2,60%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1266,30/09/19 4:00,4:00,0.002388889,11.8,763.6,764.2,88,135,3,100%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1267,30/09/19 7:00,7:00,3.792166667,11.3,763.8,764.3,92,135,3,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1268,30/09/19 10:00,10:00,9.518388889,13.5,764.5,765.0,76,157.5,4,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1269,30/09/19 13:00,13:00,8.602888889,17.1,763.7,764.2,52,135,4,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1270,30/09/19 16:00,16:00,2.057944444,18.4,763.0,763.6,44,157.5,4,40%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1271,30/09/19 19:00,19:00,0,15.1,762.7,763.1,54,112.5,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1272,30/09/19 22:00,22:00,0,12.8,762.3,762.8,68,112.5,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273,01/10/19 1:00,1:00,0,12.6,761.8,762.4,68,112.5,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1274,01/10/19 4:00,4:00,0,11.9,761.2,761.7,92,112.5,2,100%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1275,01/10/19 7:00,7:00,0.748055556,11.2,760.8,761.3,96,112.5,2,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1276,01/10/19 10:00,10:00,7.0475,13.8,760.6,761.1,84,135,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1277,01/10/19 13:00,13:00,4.991722222,18.6,759.3,759.8,74,157.5,5,100%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1278,01/10/19 16:00,16:00,0.967277778,20.5,758.5,758.9,59,157.5,5,100%., ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",100%.,1000-1500,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1279,01/10/19 19:00,19:00,0,19.2,757.8,758.3,65,157.5,3,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1280,01/10/19 22:00,22:00,0,15.3,758.5,758.9,97,157.5,2,70 – 80%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1281,02/10/19 1:00,1:00,0,15.8,758.0,758.5,97,180,3,100%.,Ливневый(ые) дождь(и). ,Гроза (грозы) с осадками или без них.,Ливень (ливни).,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",60%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1282,02/10/19 4:00,4:00,0.000944444,14.1,758.2,758.8,97,202.5,4,40%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1283,02/10/19 7:00,7:00,2.367888889,11.4,759.4,759.9,97,247.5,4,20–30%.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1284,02/10/19 10:00,10:00,6.886055556,14.8,761.0,761.5,89,270,4,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1285,02/10/19 13:00,13:00,8.025666667,19.0,761.9,762.4,69,270,4,40%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1286,02/10/19 16:00,16:00,2.0525,19.9,762.4,763.0,58,292.5,3,20–30%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1287,02/10/19 19:00,19:00,0,16.9,763.1,763.6,76,337.5,2,"10%  или менее, но не 0", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1288,02/10/19 22:00,22:00,0,11.8,763.6,764.2,96,67.5,1,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1289,03/10/19 1:00,1:00,0,10.2,763.6,764.2,99,,0,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1290,03/10/19 4:00,4:00,0.001277778,8.7,763.8,764.3,99,45,1,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1291,03/10/19 7:00,7:00,3.749166667,9.2,763.9,764.4,99,45,1,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1292,03/10/19 10:00,10:00,9.562166667,15.4,764.5,765.0,87,67.5,1,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1293,03/10/19 13:00,13:00,6.723222222,20.3,763.9,764.4,64,90,3,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1294,03/10/19 16:00,16:00,1.726722222,20.3,763.3,763.7,61,112.5,2,"90  или более, но не 100%", ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,1000-1500,Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1295,03/10/19 19:00,19:00,0,18.1,762.7,763.3,73,67.5,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1296,03/10/19 22:00,22:00,0,14.9,762.7,763.2,94,67.5,3,Облаков нет.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1297,04/10/19 1:00,1:00,0,13.6,762.4,763.0,98,90,2,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1298,04/10/19 4:00,4:00,0.001722222,13.0,762.5,763.0,97,90,2,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
